[2015-12-03T15:04:48Z]	arcontrol_cli M1402	[TEMP 1:199.0 - TEMP 2:50.2]
[2015-12-03T15:04:53Z]	arcontrol_cli M1600	[7]
[2015-12-03T15:04:53Z]	arcontrol_cli M1402	[TEMP 1:198.6 - TEMP 2:50.3]
[2015-12-03T15:04:58Z]	arcontrol_cli M1600	[7]
[2015-12-03T15:04:58Z]	arcontrol_cli M1402	[TEMP 1:197.8 - TEMP 2:50.5]
[2015-12-03T15:05:03Z]	arcontrol_cli M1600	[8]
[2015-12-03T15:05:03Z]	arcontrol_cli M1402	[TEMP 1:196.6 - TEMP 2:50.6]
[2015-12-03T15:05:08Z]	arcontrol_cli M1600	[8]
[2015-12-03T15:05:08Z]	arcontrol_cli M1402	[TEMP 1:194.9 - TEMP 2:50.8]
[2015-12-03T15:05:13Z]	arcontrol_cli M1600	[8]
[2015-12-03T15:05:13Z]	arcontrol_cli M1402	[TEMP 1:193.3 - TEMP 2:51.0]
[2015-12-03T15:05:18Z]	arcontrol_cli M1600	[8]
[2015-12-03T15:05:18Z]	arcontrol_cli M1402	[TEMP 1:191.7 - TEMP 2:51.1]
[2015-12-03T15:05:23Z]	arcontrol_cli M1600	[9]
[2015-12-03T15:05:23Z]	arcontrol_cli M1402	[TEMP 1:190.8 - TEMP 2:51.3]
[2015-12-03T15:05:28Z]	arcontrol_cli M1600	[9]
[2015-12-03T15:05:28Z]	arcontrol_cli M1402	[TEMP 1:191.0 - TEMP 2:51.4]
[2015-12-03T15:05:33Z]	arcontrol_cli M1600	[9]
[2015-12-03T15:05:33Z]	arcontrol_cli M1402	[TEMP 1:191.7 - TEMP 2:51.5]
[2015-12-03T15:05:38Z]	arcontrol_cli M1600	[9]
[2015-12-03T15:05:38Z]	arcontrol_cli M1402	[TEMP 1:192.9 - TEMP 2:51.7]
[2015-12-03T15:05:43Z]	arcontrol_cli M1600	[9]
[2015-12-03T15:05:43Z]	arcontrol_cli M1402	[TEMP 1:194.5 - TEMP 2:51.8]
[2015-12-03T15:05:48Z]	arcontrol_cli M1600	[10]
[2015-12-03T15:05:48Z]	arcontrol_cli M1402	[TEMP 1:196.2 - TEMP 2:52.0]
[2015-12-03T15:05:53Z]	arcontrol_cli M1600	[10]
[2015-12-03T15:05:53Z]	arcontrol_cli M1402	[TEMP 1:197.7 - TEMP 2:52.1]
[2015-12-03T15:05:58Z]	arcontrol_cli M1600	[10]
[2015-12-03T15:05:58Z]	arcontrol_cli M1402	[TEMP 1:198.6 - TEMP 2:52.3]
[2015-12-03T15:06:03Z]	arcontrol_cli M1600	[10]
[2015-12-03T15:06:03Z]	arcontrol_cli M1402	[TEMP 1:199.0 - TEMP 2:52.5]
[2015-12-03T15:06:08Z]	arcontrol_cli M1600	[10]
[2015-12-03T15:06:08Z]	arcontrol_cli M1402	[TEMP 1:198.5 - TEMP 2:52.6]
[2015-12-03T15:06:13Z]	arcontrol_cli M1600	[11]
[2015-12-03T15:06:13Z]	arcontrol_cli M1402	[TEMP 1:197.3 - TEMP 2:52.7]
[2015-12-03T15:06:18Z]	arcontrol_cli M1600	[11]
[2015-12-03T15:06:18Z]	arcontrol_cli M1402	[TEMP 1:196.0 - TEMP 2:52.9]
[2015-12-03T15:06:23Z]	arcontrol_cli M1600	[11]
[2015-12-03T15:06:23Z]	arcontrol_cli M1402	[TEMP 1:194.1 - TEMP 2:53.0]
[2015-12-03T15:06:28Z]	arcontrol_cli M1600	[11]
[2015-12-03T15:06:28Z]	arcontrol_cli M1402	[TEMP 1:192.5 - TEMP 2:53.2]
[2015-12-03T15:06:33Z]	arcontrol_cli M1600	[11]
[2015-12-03T15:06:33Z]	arcontrol_cli M1402	[TEMP 1:191.0 - TEMP 2:53.3]
[2015-12-03T15:06:38Z]	arcontrol_cli M1600	[11]
[2015-12-03T15:06:38Z]	arcontrol_cli M1402	[TEMP 1:190.5 - TEMP 2:53.4]
[2015-12-03T15:06:43Z]	arcontrol_cli M1600	[11]
[2015-12-03T15:06:43Z]	arcontrol_cli M1402	[TEMP 1:190.8 - TEMP 2:53.5]
[2015-12-03T15:06:48Z]	arcontrol_cli M1600	[11]
[2015-12-03T15:06:48Z]	arcontrol_cli M1402	[TEMP 1:191.6 - TEMP 2:53.7]
[2015-12-03T15:06:53Z]	arcontrol_cli M1600	[11]
[2015-12-03T15:06:53Z]	arcontrol_cli M1402	[TEMP 1:192.7 - TEMP 2:53.7]
[2015-12-03T15:06:58Z]	arcontrol_cli M1600	[12]
[2015-12-03T15:06:58Z]	arcontrol_cli M1402	[TEMP 1:194.0 - TEMP 2:53.9]
[2015-12-03T15:07:03Z]	arcontrol_cli M1600	[12]
[2015-12-03T15:07:03Z]	arcontrol_cli M1402	[TEMP 1:195.5 - TEMP 2:54.0]
[2015-12-03T15:07:08Z]	arcontrol_cli M1600	[12]
[2015-12-03T15:07:08Z]	arcontrol_cli M1402	[TEMP 1:197.2 - TEMP 2:54.2]
[2015-12-03T15:07:13Z]	arcontrol_cli M1600	[12]
[2015-12-03T15:07:13Z]	arcontrol_cli M1402	[TEMP 1:198.2 - TEMP 2:54.4]
[2015-12-03T15:07:18Z]	arcontrol_cli M1600	[12]
[2015-12-03T15:07:18Z]	arcontrol_cli M1402	[TEMP 1:198.6 - TEMP 2:54.5]
[2015-12-03T15:07:23Z]	arcontrol_cli M1600	[12]
[2015-12-03T15:07:23Z]	arcontrol_cli M1402	[TEMP 1:198.4 - TEMP 2:54.7]
[2015-12-03T15:07:28Z]	arcontrol_cli M1600	[12]
[2015-12-03T15:07:28Z]	arcontrol_cli M1402	[TEMP 1:197.6 - TEMP 2:54.9]
[2015-12-03T15:07:33Z]	arcontrol_cli M1600	[12]
[2015-12-03T15:07:33Z]	arcontrol_cli M1402	[TEMP 1:196.0 - TEMP 2:55.0]
[2015-12-03T15:07:38Z]	arcontrol_cli M1600	[12]
[2015-12-03T15:07:38Z]	arcontrol_cli M1402	[TEMP 1:194.1 - TEMP 2:55.2]
[2015-12-03T15:07:43Z]	arcontrol_cli M1600	[12]
[2015-12-03T15:07:43Z]	arcontrol_cli M1402	[TEMP 1:192.5 - TEMP 2:55.3]
[2015-12-03T15:07:48Z]	arcontrol_cli M1600	[13]
[2015-12-03T15:07:48Z]	arcontrol_cli M1402	[TEMP 1:191.2 - TEMP 2:55.4]
